SeriesID,Khutbat & Bayanat Series Title,Author / Scholar,Maktaba (Library),Volumes Present Count,Volumes Present List,True Total Volumes (Internet Reference),Missing / Remaining Volumes List,Status,Online Download Available?,Online Available Volumes Count,Download Sources / Reference Links,"Researched Direct Links (2026-08-10, unverified by download - review before use)","Text Status In Library (auto-matched by title, 2026-08-10 - verify low-confidence matches)"
64,خطبات رحیمی جلد ہفتم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (176 pages, avg 1308 chars/page) | matched: BookID 2034 ""خطبات رحیمی جلد ہفتم"" (high confidence, 1.00)"
65,خطبات رمضان المبارک جلد اول,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (232 pages, avg 1240 chars/page) | matched: BookID 15819 ""خطبات رمضان المبارک جلد اول"" (high confidence, 1.00)"
66,خطبات رمضان المبارک جلد دوم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (182 pages, avg 1261 chars/page) | matched: BookID 15820 ""خطبات رمضان المبارک جلد دوم"" (high confidence, 1.00)"
67,خطبات رمضان المبارک جلد سوم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (224 pages, avg 1301 chars/page) | matched: BookID 15836 ""خطبات رمضان المبارک جلد سوم"" (high confidence, 1.00)"
68,خطبات رمضان المبارک جلد چہارم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (208 pages, avg 1303 chars/page) | matched: BookID 15837 ""خطبات رمضان المبارک جلد چہارم"" (high confidence, 1.00)"
69,خطبات سرگودھا (سیرت نبوی ص کا عہد مکی),ڈاکٹر محمد یٰسین مظہر صدیقی,Maktaba Shamila Urdu,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (300 pages, avg 1520 chars/page) | matched: BookID 16222 ""خطبات سرگودھا (سیرت نبوی ص کا عہد مکی)"" (high confidence, 1.00)"
70,خطبات سیرت طیبہ۔مفتی سلمان منصورپوری صاحب,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13459 ""خطبات سیرت طیبہ۔مفتی سلمان منصورپوری صاحب"" (high confidence, 1.00)"
71,خطبات شہید اسلام علامہ احسان الٰہی ظہیر رحمۃ اللہ علیہ,عمر فاروق قدوسی,Maktaba Shamila Urdu,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (434 pages, avg 1608 chars/page) | matched: BookID 16219 ""خطبات شہید اسلام علامہ احسان الٰہی ظہیر رحمۃ اللہ علیہ"" (high confidence, 1.00)"
72,خطبات صدیقی۔سیرت النبی۔ مکی حصہ۔,Unknown,Jumma Bayanat,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13460 ""خطبات صدیقی۔سیرت النبی۔ مکی حصہ۔ جلد 1"" (high confidence, 0.83)"
73,خطبات علی میاں,حضرت مولانا محمد رمضان میاں صاحب,Maktaba Jibreel (Desktop),1,4,8,"1, 2, 3, 5, 6, 7, 8",INCOMPLETE (7 missing),YES (PDF),8 Volumes,AbulHasanAliNadwi.org / Archive.org,"https://besturdubooks.net/category/khutbaat-o-maqalaat/ (khutbaat category, browse for the exact title) | https://deobandi-books.aislam.org/book.php?b=125&p=21 (has vol 8 specifically, viewer not direct PDF)","PARTIAL - SOME PAGES NEED OCR (71/449 pages have real text) | matched: BookID 3305 ""خطبات علی میاں جلد 4"" (high confidence, 0.75)"
74,خطبات فقیر,حضرت مولانا پیر ذوالفقار احمد نقشبندی,Maktaba Jibreel (Desktop),1,5,45,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45",INCOMPLETE (44 missing),YES (PDF),45 Volumes,Archive.org / Naqshbandi.org / Besturdubooks.net,"STRONG MATCH - all 45 volumes in one file, covers all 44 missing: https://archive.org/details/KHUTBAATEFAQEERAllInOne","PARTIAL - SOME PAGES NEED OCR (124/305 pages have real text) | matched: BookID 3393 ""خطبات فقیر جلد 5"" (high confidence, 0.67)"
75,خطبات قاسمی,حضرت مولانا محمد ضیاء القاسمی صاحب,Maktaba Jibreel (Desktop),1,7,8,"1, 2, 3, 4, 5, 6, 8",INCOMPLETE (7 missing),YES (PDF),8 Volumes,Archive.org / Besturdubooks.net,"https://www.mziaulqasmi.com/books (author's own official site, lists خطبات قاسمیؒ directly)","PDF/IMAGE - NEEDS OCR (625 pages, avg 0 chars/page) | matched: BookID 3578 ""خطبات قاسمی جلد 7"" (high confidence, 0.67)"
76,خطبات محمود,حضرت مفتی محمود بن مولانا سلیمان حافظ جی بارڈولی صاحب,Maktaba Jibreel (Mobile),1,8,10,"1, 2, 3, 4, 5, 6, 7, 9, 10",INCOMPLETE (9 missing),YES (PDF),10 Volumes,Archive.org / Besturdubooks.net,"CAUTION - volume-count mismatch: one source describes this work as only 5 volumes total, not 10 as this row's 'True Total' says - verify before treating any volume as 'missing'. https://archive.org/details/Maktaba-Mufti-Mahmood-Bardoli-Sahib (author's full archive.org collection)","SEARCHABLE TEXT (261 pages, avg 1123 chars/page) | matched: BookID 1842 ""خطبات محمود جلد 8"" (high confidence, 0.67)"
77,خطبات_شاہین_ختم_نبوت_اول,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,NO CONFIDENT MATCH IN DB - VERIFY MANUALLY
78,خطبات_شاہین_ختم_نبوت_دوم,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,NO CONFIDENT MATCH IN DB - VERIFY MANUALLY
79,خطباتِ تحفظِ ختمِ نبوت,Unknown,Jumma Bayanat,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 15125 ""خطباتِ تحفظِ ختمِ نبوت - جلد 1"" (high confidence, 0.80)"
80,خطباتِ جمعہ و عیدین(عبد الرؤف سکھروی),Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13297 ""خطباتِ جمعہ و عیدین(عبد الرؤف سکھروی)"" (high confidence, 1.00)"
81,خواتین کے لئے اصلاحی تقاریر,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (216 pages, avg 1253 chars/page) | matched: BookID 15832 ""خواتین کے لئے اصلاحی تقاریر"" (high confidence, 1.00)"
82,خواتین کے لئے منتخب تقاریر,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (176 pages, avg 1336 chars/page) | matched: BookID 15834 ""خواتین کے لئے منتخب تقاریر"" (high confidence, 1.00)"
83,دروس و خطبات,اسعد اعظمی,Maktaba Shamila Urdu,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (303 pages, avg 1479 chars/page) | matched: BookID 16218 ""دروس و خطبات"" (high confidence, 1.00)"
84,دليل الواعظ إلى أدلة المواعظ - part,شحاتة صقر,Maktaba Shamela,1,2,2,1,INCOMPLETE (1 missing),YES (PDF),2 Volumes,Archive.org / Besturdubooks.net,STRONG MATCH: https://archive.org/details/4486Bok,"SEARCHABLE TEXT (837 pages, avg 1628 chars/page) | matched: BookID 67423 ""دليل الواعظ إلى أدلة المواعظ - part 2"" (high confidence, 1.00)"
85,ریاض الخطبات (جلد اول),حافظ نثار مصطفیٰ,Maktaba Shamila Urdu,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (343 pages, avg 1374 chars/page) | matched: BookID 16232 ""ریاض الخطبات (جلد اول)"" (high confidence, 1.00)"
86,سیدنا علی اور ان کی شہادت- خطبات قاسمی سے,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14794 ""سیدنا علی اور ان کی شہادت- خطبات قاسمی سے"" (high confidence, 1.00)"
87,سیرت النبی ﷺاور انسانی حقوق۔-مکمل بیانات یکجا-الراشدی صاحب,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13480 ""سیرت النبی ﷺاور انسانی حقوق۔-مکمل بیانات یکجا-الراشدی صاحب"" (high confidence, 1.00)"
88,سیرت النبیﷺ- مفتی سلیمان صاحب آڈیو بیانات کی فہرست,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13466 ""سیرت النبیﷺ- مفتی سلیمان صاحب آڈیو بیانات کی فہرست"" (high confidence, 1.00)"
89,صدارتی خطبات(رحمانی),فضیلۃ الشیخ عبداللہ ناصر رحمانی,Maktaba Shamila Urdu,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (366 pages, avg 1117 chars/page) | matched: BookID 16233 ""صدارتی خطبات(رحمانی)"" (high confidence, 1.00)"
90,عشق وحب رسول۔خطبات جمعہ سے,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 15065 ""عشق وحب رسول۔خطبات جمعہ سے"" (high confidence, 1.00)"
91,عيون الحكم والمواعظ للواسطي - part,Unknown,Maktaba Shamela,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (500 pages, avg 635 chars/page) | matched: BookID 19930 ""عيون الحكم والمواعظ للواسطي - part 1"" (high confidence, 1.00)"
92,عید الاضحی اور ضیافت مولی۔خطبات اسلم,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13302 ""عید الاضحی اور ضیافت مولی۔خطبات اسلم"" (high confidence, 1.00)"
93,عید الفطر اور اس کا پیغام-خطبات اسلام,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14860 ""عید الفطر اور اس کا پیغام-خطبات اسلام"" (high confidence, 1.00)"
94,عید کا تحفہ-خطبات اسلم,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14875 ""عید کا تحفہ-خطبات اسلم"" (high confidence, 1.00)"
95,فيض الرحيم الرحمن في أحكام ومواعظ رمضان - part,Unknown,Maktaba Shamela,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (490 pages, avg 1130 chars/page) | matched: BookID 92905 ""فيض الرحيم الرحمن في أحكام ومواعظ رمضان - part 1"" (high confidence, 1.00)"
96,كتاب المواعظ,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (77 pages, avg 671 chars/page) | matched: BookID 42057 ""كتاب المواعظ"" (high confidence, 1.00)"
97,مستورات کے لئے انقلابی تقاریر,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (160 pages, avg 1274 chars/page) | matched: BookID 15833 ""مستورات کے لئے انقلابی تقاریر"" (high confidence, 1.00)"
98,معراج نبی ﷺ۔خطبات قادریہ,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14558 ""معراج نبی ﷺ۔خطبات قادریہ"" (high confidence, 1.00)"
99,منتخب تقاریر,حضرت مولانا نظام الدین قاسمی سیتامڑھی صاحب,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (241 pages, avg 1713 chars/page) | matched: BookID 1715 ""منتخب تقاریر"" (high confidence, 1.00)"
100,مواعظ ابن الجوزي,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (17 pages, avg 3079 chars/page) | matched: BookID 77334 ""مواعظ ابن الجوزي"" (high confidence, 1.00)"
101,مواعظ ابن الجوزي - الياقوتة,ابن الجوزي,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (27 pages, avg 1900 chars/page) | matched: BookID 45885 ""مواعظ ابن الجوزي - الياقوتة"" (high confidence, 1.00)"
102,مواعظ اشرفیہ,حکیم الامت حضرت مولانا اشرف علی تھانوی صاحب,Maktaba Jibreel (Desktop),1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"PDF/IMAGE - NEEDS OCR (513 pages, avg 0 chars/page) | matched: BookID 4197 ""مواعظ اشرفیہ جلد 1"" (high confidence, 0.67)"
103,مواعظ الإمام الشافعي,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (1 pages, avg 1776 chars/page) | matched: BookID 96950 ""مواعظ الإمام الشافعي"" (high confidence, 1.00)"
104,مواعظ الشافعي,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (2 pages, avg 888 chars/page) | matched: BookID 79368 ""مواعظ الشافعي"" (high confidence, 1.00)"
105,مواعظ الشتاء,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (378 pages, avg 1043 chars/page) | matched: BookID 42031 ""مواعظ الشتاء"" (high confidence, 1.00)"
106,مواعظ القلوب بين الترغيب والترهيب,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (44 pages, avg 1312 chars/page) | matched: BookID 33860 ""مواعظ القلوب بين الترغيب والترهيب"" (high confidence, 1.00)"
107,مواعظ درد محبت,حضرت مولانا شاہ حکیم محمد اختر صاحب,Maktaba Jibreel (Desktop),1,2,2,1,INCOMPLETE (1 missing),YES (PDF),2 Volumes,Archive.org / Besturdubooks.net,Same collection as row 119 (Mawaiz-e-Akhtar) - the missing volume may be inside it: https://archive.org/details/MAkhar,"PDF/IMAGE - NEEDS OCR (517 pages, avg 0 chars/page) | matched: BookID 4318 ""مواعظ درد محبت جلد 2"" (high confidence, 0.75)"
108,مواعظ عثمانی جلد,Unknown,Jumma Bayanat,1,4,4,"1, 2, 3",INCOMPLETE (3 missing),YES (PDF),4 Volumes,Archive.org / Besturdubooks.net,CAUTION - this row's author is listed as Unknown; besturdubooks.net's 'Mawaiz-e-Usmani' below is attributed to Mufti Muhammad TAQI Usmani specifically - verify it's the same work before downloading: https://besturdubooks.net/mawaiz-e-usmani/,"NO PAGES IN DB | matched: BookID 14775 ""مواعظ عثمانی جلد - 4 "" (high confidence, 1.00)"
109,مواعظ من كلام السلف,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (15 pages, avg 1503 chars/page) | matched: BookID 87787 ""مواعظ من كلام السلف"" (high confidence, 1.00)"
110,مواعظ ومعالم في التربية والدعوة للشافعي,Unknown,Maktaba Shamela,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (25 pages, avg 1555 chars/page) | matched: BookID 95082 ""مواعظ ومعالم في التربية والدعوة للشافعي"" (high confidence, 1.00)"
111,نوجوان ایک نشان منزل-مولانا نظام الدین قاسمی-از منتخب تقاریر,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 15420 ""نوجوان ایک نشان منزل-مولانا نظام الدین قاسمی-از منتخب تقاریر"" (high confidence, 1.00)"
112,نوجوان_ایک_نشان_منزل_مولانا_نظام_الدین_قاسمی_از_منتخب_تقاریر,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 15443 ""نوجوان_ایک_نشان_منزل_مولانا_نظام_الدین_قاسمی_از_منتخب_تقاریر"" (high confidence, 1.00)"
113,خطبات بہاولپور,ڈاکٹر محمد حمید اللہ,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Archive.org / Rekhta / Iqbal Cyber Library,"https://archive.org/details/KhutbatEBahawalPurByDr.MuhammadHamidullahComplete (complete, all volumes) | https://archive.org/details/20210118_20210118_0208 | https://hamidullah.info/khutbat-e-bahawalpur-complete/",N/A - NOT IN LIBRARY
114,خطبات مدنی,مولانا سید حسین احمد مدنی,Not In Library,0,None (0 Present),3,"1, 2, 3",NOT IN LIBRARY (0 Volumes),YES (PDF),3 Volumes,Archive.org / Marfat.com,"NOT CONFIDENTLY LOCATED under this exact title - closest matches: https://www.rekhta.org/authors/husain-ahmad-madani/ebooks (author's ebook list, browse for the right title) | https://archive.org/details/maktabasheikhulislam_202004 (Sheikh-ul-Islam Hussain Ahmad Madani library collection) | https://archive.org/details/Maktaba-Sufi-Abdul-Hameed-Sawati-ra (has a different compiled title 'خطباتِ صدارت'). Recommend checking these collections manually rather than trusting an auto-match.",N/A - NOT IN LIBRARY
115,خطبات عثمانی / مواعظ عثمانی,مفتی محمد شفیع عثمانی,Not In Library,0,None (0 Present),7,"1, 2, 3, 4, 5, 6, 7",NOT IN LIBRARY (0 Volumes),YES (PDF),7 Volumes,Archive.org / Besturdubooks.net,"CAUTION - author mismatch: besturdubooks.net's 'Khutbat e Usmani' is by Mufti Muhammad TAQI Usmani (son), not Mufti Muhammad SHAFI Usmani (father) as this row lists - verify before downloading: https://besturdubooks.net/khutbat-e-usmani/ | closer possible match for Mufti Shafi: https://archive.org/details/109-mawaiz-malfoozat-mufti-m.-shafee-sahib-rehmahullah | https://archive.org/details/20251014_20251014_0913",N/A - NOT IN LIBRARY
116,خطبات طارق جمیل,مولانا طارق جمیل,Not In Library,0,None (0 Present),8,"1, 2, 3, 4, 5, 6, 7, 8",NOT IN LIBRARY (0 Volumes),YES (PDF),8 Volumes,Archive.org / TariqJamilOfficial,"NOT CONFIDENTLY LOCATED as a text/PDF series - Tariq Jamil's khutbaat circulate mainly as audio/video on his own channels, not a standard archive.org/besturdubooks text series. Best starting points: https://archive.org/details/AllahKoApnaBanaloByMaulanaTariqJameel (one compiled work, not the 8-vol series) | check besturdubooks.net's own search directly for 'طارق جمیل'.",N/A - NOT IN LIBRARY
117,خطبات محدث کبیر,مولانا انظر شاہ کشمیری,Not In Library,0,None (0 Present),4,"1, 2, 3, 4",NOT IN LIBRARY (0 Volumes),YES (PDF),4 Volumes,Archive.org / Besturdubooks.net,"https://archive.org/details/Maktaba-Allama-Anwar-Shah-Kashmiri-ra (full library collection - browse inside for 'خطبات محدث کبیر' specifically) | https://archive.org/details/mphilislamiate_gmail_20151127_1809 (ملفوظات, a related but distinct work)",N/A - NOT IN LIBRARY
118,خطبات متکلم اسلام,مولانا محمد الیاس گھمن,Not In Library,0,None (0 Present),6,"1, 2, 3, 4, 5, 6",NOT IN LIBRARY (0 Volumes),YES (PDF),6 Volumes,AhleSunnat.com / Archive.org,https://besturdubooks.net/tag/maulana-muhammad-ilyas-ghuman-books/ (author's full book list) | https://islamicgyan.shakirgyan.com/book-details/%D8%AE%D8%B7%D8%A8%D8%A7%D8%AA-%D9%85%D8%AA%DA%A9%D9%84%D9%85-%D8%A7%D8%B3%D9%84%D8%A7%D9%85-%D9%A1-6484 (vol 1 direct) | Scribd has vol 1 & 2 (may require an account): https://www.scribd.com/document/205420153/ and https://www.scribd.com/document/205420152/,N/A - NOT IN LIBRARY
119,مواعظ حسنہ,مولانا شاہ حکیم محمد اختر,Not In Library,0,None (0 Present),10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",NOT IN LIBRARY (0 Volumes),YES (PDF),10 Volumes,Khanqah.org / Archive.org,"LIKELY MATCH under a variant title 'مواعظ اختر' (Mawaiz-e-Akhtar), not 'مواعظ حسنہ' exactly - verify before downloading: https://archive.org/details/MAkhar",N/A - NOT IN LIBRARY
120,خطبات ازہر,مولانا محمد ازہر,Not In Library,0,None (0 Present),6,"1, 2, 3, 4, 5, 6",NOT IN LIBRARY (0 Volumes),YES (PDF),6 Volumes,Archive.org,NOT CONFIDENTLY LOCATED - no direct match found for 'خطبات ازہر' by Maulana Muhammad Azhar; search results only surfaced an unrelated scholar with a similar name (Azhar Shah Qaisar). Recommend searching besturdubooks.net's khutbaat category directly: https://besturdubooks.net/category/khutbaat-o-maqalaat/,N/A - NOT IN LIBRARY
121,خطبات شفیع,مفتی محمد شفیع عثمانی,Not In Library,0,None (0 Present),5,"1, 2, 3, 4, 5",NOT IN LIBRARY (0 Volumes),YES (PDF),5 Volumes,Archive.org / Besturdubooks.net,https://archive.org/details/20251014_20251014_0913 (خطبات جمعہ وعیدین کو آداب و احکام) | https://archive.org/details/109-mawaiz-malfoozat-mufti-m.-shafee-sahib-rehmahullah,N/A - NOT IN LIBRARY
122,خطبات آزاد,مولانا ابوالکلام آزاد,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Archive.org / Rekhta,https://besturdubooks.net/khutbat-e-azad/ | https://www.rekhta.org/ebooks/detail/khutbaat-e-aazad-abul-kalam-azad-ebooks,N/A - NOT IN LIBRARY
123,خطبات اقبال,علامہ محمد اقبال,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Iqbal Cyber Library / Rekhta,https://www.rekhta.org/ebooks/detail/khutbat-e-iqbal-ebooks | https://archive.org/details/Maktaba_allama_iqbal (browse inside for the specific edition),N/A - NOT IN LIBRARY
