SeriesID,Khutbat & Bayanat Series Title,Author / Scholar,Maktaba (Library),Volumes Present Count,Volumes Present List,True Total Volumes (Internet Reference),Missing / Remaining Volumes List,Status,Online Download Available?,Online Available Volumes Count,Download Sources / Reference Links
113,خطبات بہاولپور,ڈاکٹر محمد حمید اللہ,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Archive.org / Rekhta / Iqbal Cyber Library
114,خطبات مدنی,مولانا سید حسین احمد مدنی,Not In Library,0,None (0 Present),3,"1, 2, 3",NOT IN LIBRARY (0 Volumes),YES (PDF),3 Volumes,Archive.org / Marfat.com
115,خطبات عثمانی / مواعظ عثمانی,مفتی محمد شفیع عثمانی,Not In Library,0,None (0 Present),7,"1, 2, 3, 4, 5, 6, 7",NOT IN LIBRARY (0 Volumes),YES (PDF),7 Volumes,Archive.org / Besturdubooks.net
116,خطبات طارق جمیل,مولانا طارق جمیل,Not In Library,0,None (0 Present),8,"1, 2, 3, 4, 5, 6, 7, 8",NOT IN LIBRARY (0 Volumes),YES (PDF),8 Volumes,Archive.org / TariqJamilOfficial
117,خطبات محدث کبیر,مولانا انظر شاہ کشمیری,Not In Library,0,None (0 Present),4,"1, 2, 3, 4",NOT IN LIBRARY (0 Volumes),YES (PDF),4 Volumes,Archive.org / Besturdubooks.net
118,خطبات متکلم اسلام,مولانا محمد الیاس گھمن,Not In Library,0,None (0 Present),6,"1, 2, 3, 4, 5, 6",NOT IN LIBRARY (0 Volumes),YES (PDF),6 Volumes,AhleSunnat.com / Archive.org
119,مواعظ حسنہ,مولانا شاہ حکیم محمد اختر,Not In Library,0,None (0 Present),10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",NOT IN LIBRARY (0 Volumes),YES (PDF),10 Volumes,Khanqah.org / Archive.org
120,خطبات ازہر,مولانا محمد ازہر,Not In Library,0,None (0 Present),6,"1, 2, 3, 4, 5, 6",NOT IN LIBRARY (0 Volumes),YES (PDF),6 Volumes,Archive.org
121,خطبات شفیع,مفتی محمد شفیع عثمانی,Not In Library,0,None (0 Present),5,"1, 2, 3, 4, 5",NOT IN LIBRARY (0 Volumes),YES (PDF),5 Volumes,Archive.org / Besturdubooks.net
122,خطبات آزاد,مولانا ابوالکلام آزاد,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Archive.org / Rekhta
123,خطبات اقبال,علامہ محمد اقبال,Not In Library,0,None (0 Present),1,1,NOT IN LIBRARY (0 Volumes),YES (PDF),1 Volumes,Iqbal Cyber Library / Rekhta
